,K,dominant_g,p_template_0,p_template_1,p_template_2,p_template_3,p_template_4,p_template_5
2024-08-29,5,1,0.0,1.0,1.5372482586322648e-19,2.5234861327177833e-17,0.0,0.0
2024-08-30,5,1,0.0,0.9999999999994069,0.0,5.931667951863462e-13,0.0,2.323421132400983e-298
2024-09-03,5,1,0.0,0.9999999982773662,1.7226338061037964e-09,1.1448896600247803e-34,0.0,2.2309705273277756e-197
2024-09-04,5,1,0.0,0.9999999999834,0.0,1.6600066764676805e-11,0.0,0.0
2024-09-05,5,1,0.0,0.9999988810325037,1.1189674963200802e-06,2.8971101808336313e-19,0.0,0.0
2024-09-06,4,1,0.0,0.9999999086709925,9.1329007497445e-08,1.0847780033723061e-44,0.0,0.0
2024-09-09,4,1,0.0,0.9999954831981882,4.516801811821616e-06,1.4607904532691208e-39,0.0,0.0
2024-09-10,4,1,0.0,0.9999994150949334,5.849050665762893e-07,8.834948619651569e-28,0.0,0.0
2024-09-11,4,1,0.0,0.9999999293916345,4.194199334385467e-38,7.060836547682148e-08,0.0,0.0
2024-09-12,4,1,0.0,0.9999999999999853,2.179890163542212e-234,1.4701163040916803e-14,0.0,0.0
2024-09-13,6,1,0.0,0.9999999828582801,1.714172000853956e-08,2.7399589140629436e-18,0.0,0.0
2024-09-16,6,1,0.0,0.9999999919036999,8.096300067026425e-09,6.3005484604074146e-28,0.0,0.0
2024-09-17,6,1,0.0,0.9999999949058186,5.094181480073615e-09,1.6729570534689262e-28,0.0,0.0
2024-09-18,6,1,0.0,0.9999999522564603,4.7612594617403825e-08,1.3094507422439589e-10,0.0,0.0
2024-09-19,6,1,0.0,0.9999999972174262,2.782573803004272e-09,1.4968306844045886e-33,0.0,0.0
2024-09-20,6,1,0.0,0.9999983785076315,1.6214923684020714e-06,1.5249252218291428e-21,0.0,0.0
2024-09-23,6,1,0.0,1.0,0.0,2.9456759789634015e-19,0.0,0.0
2024-09-24,6,1,0.0,0.9999999999994356,5.943718130113867e-47,5.645468295428269e-13,0.0,0.0
2024-09-25,6,1,0.0,0.999999999999983,1.0747942868403216e-17,1.6987172135988778e-14,0.0,0.0
2024-09-26,6,1,0.0,0.9999999999975294,4.684303625597213e-16,2.470088934561184e-12,0.0,1.0500311046543386e-46
2024-09-27,4,1,0.0,0.9999999010806201,9.891937986011941e-08,4.26533425642977e-38,0.0,0.0
2024-09-30,4,1,0.0,0.999999999999999,3.433825410670607e-179,1.0273337177457388e-15,0.0,0.0
2024-10-01,4,1,0.0,0.9999999999999998,7.42896982124461e-171,2.8007060480389285e-16,0.0,0.0
2024-10-02,4,1,0.0,1.0,0.0,5.400285318907576e-22,0.0,0.0
2024-10-03,4,1,0.0,0.9999943895116579,5.610488342093358e-06,0.0,0.0,0.0
2024-10-04,4,1,0.0,0.999999947891104,5.2108895942806185e-08,6.40454231303001e-43,0.0,0.0
2024-10-07,4,1,0.0,1.0,0.0,2.8511647589440984e-37,0.0,0.0
2024-10-08,4,2,0.0,0.4034574810100708,0.5965425189899292,6.5362739283037655e-31,0.0,0.0
2024-10-09,4,1,0.0,0.5335005709668191,0.4664994290331808,1.0104063257909641e-27,0.0,0.0
2024-10-10,4,1,0.0,1.0,0.0,6.407196714484587e-34,0.0,0.0
2024-10-11,6,1,0.0,1.0,0.0,2.33731264872218e-51,0.0,0.0
2024-10-14,6,2,0.0,0.0008852537107694261,0.9991147462892306,1.1800499960001631e-49,0.0,0.0
2024-10-15,6,2,0.0,0.000804419898921405,0.9991955801010786,6.7893955283927555e-53,0.0,0.0
2024-10-16,6,1,0.0,1.0,2.505766550764885e-32,4.081137989486712e-26,0.0,1.9849893549719566e-23
2024-10-17,6,1,0.0,1.0,2.9540637433500643e-32,1.8172466376485333e-27,0.0,1.4082884779669965e-25
2024-10-18,5,1,0.0,0.9945613379030777,0.005438662096922288,2.8979172546595616e-24,0.0,0.0
2024-10-21,5,1,0.0,0.9999999867716736,1.3228326438909588e-08,2.6772233501094112e-39,0.0,2.171260832645244e-107
2024-10-22,5,1,0.0,1.0,0.0,3.92776119685651e-23,0.0,0.0
2024-10-23,5,1,0.0,0.9999999999999987,0.0,1.2943096479966023e-15,0.0,3.602032759707606e-132
2024-10-24,5,2,0.0,1.3322257160827897e-08,0.9999999866777428,9.969474350234033e-42,0.0,0.0
2024-10-25,5,2,0.0,2.0556522167276536e-08,0.9999999794434777,5.0982064584177496e-42,0.0,0.0
2024-10-28,5,1,0.0,0.9999999994886805,5.113195033115842e-10,0.0,0.0,0.0
2024-10-29,5,1,0.0,1.0,0.0,2.811340849283883e-18,0.0,0.0
2024-10-30,5,1,0.0,1.0,0.0,7.423605766188133e-19,0.0,0.0
2024-10-31,5,1,0.0,0.9999999999967799,5.265185563191584e-122,3.220141113951549e-12,0.0,0.0
2024-11-01,6,2,0.0,3.6989968436380535e-05,0.9999630100315636,7.361303512013201e-28,0.0,1.368783893599267e-208
2024-11-04,6,1,0.0,1.0,1.238990426439059e-56,3.781255158689788e-24,0.0,2.1050843721945134e-23
2024-11-05,6,1,0.0,0.9998624420117834,0.00013755798821661575,6.323088405946585e-27,0.0,0.0
2024-11-06,6,2,0.0,0.0012616093529705268,0.998738389385538,1.2614915282301416e-09,0.0,0.0
2024-11-07,6,1,0.0,0.9999999999999674,0.0,3.2623220006770476e-14,0.0,0.0
2024-11-08,3,1,0.0,0.9999927962437863,0.0,7.203756213677379e-06,0.0,0.0
2024-11-11,3,1,0.0,0.9999967980132802,0.0,3.2019867197867015e-06,0.0,0.0
2024-11-12,3,1,0.0,0.9999996844037944,0.0,3.155962055282176e-07,0.0,0.0
2024-11-13,3,1,0.0,0.9999999928059179,0.0,7.194082013633322e-09,0.0,0.0
2024-11-14,3,1,0.0,0.9999999935332369,0.0,6.466763208853556e-09,0.0,0.0
2024-11-15,6,1,0.0,0.9996091287565756,0.0003908712434009047,2.350929579792374e-14,0.0,0.0
2024-11-18,6,1,0.0,0.9999999999993961,0.0,6.038699865576929e-13,0.0,0.0
2024-11-19,6,1,0.0,0.9999999976518199,0.0,2.3481799929444236e-09,0.0,0.0
2024-11-20,6,1,0.0,0.9999999999946314,0.0,5.368640195049954e-12,0.0,0.0
2024-11-21,6,1,0.0,0.9999999999999998,3.218346739560846e-18,2.1287287401634167e-16,0.0,0.0
2024-11-22,6,1,0.0,1.0,0.0,1.8909887679378584e-25,0.0,0.0
2024-11-25,6,1,0.0,0.9999999789077669,2.1092233083228914e-08,1.3274975378057027e-21,0.0,0.0
2024-11-26,6,1,0.0,0.9999995595082055,4.4003092230606854e-07,4.6087214267782435e-10,0.0,0.0
2024-11-27,6,1,0.0,0.9999127329281415,8.726707185831891e-05,1.3574515927362755e-16,0.0,0.0
2024-11-29,6,1,0.0,0.9999999999995569,0.0,4.430800736519811e-13,0.0,0.0
2024-12-02,5,1,0.0,1.0,0.0,7.13788844876967e-27,0.0,0.0
2024-12-03,5,1,0.0,0.9999999999968153,0.0,3.1847068245640397e-12,0.0,5.039238708199298e-300
2024-12-04,5,1,2.80979581091361e-300,0.9999999999715198,0.0,2.848027094817021e-11,0.0,0.0
2024-12-05,5,1,0.0,0.9999999343755525,0.0,6.562444748727291e-08,0.0,0.0
2024-12-06,5,1,0.0,0.9999975635107882,2.436489211842406e-06,1.1721660587076123e-21,0.0,0.0
2024-12-09,6,1,0.0,0.9999999999998019,0.0,1.980376404888721e-13,0.0,0.0
2024-12-10,6,1,0.0,0.9999999999950568,1.8008682412918143e-35,4.943142479265363e-12,0.0,0.0
2024-12-11,6,1,0.0,1.0,3.821086655137257e-42,4.571390704155232e-28,0.0,7.37728045057224e-26
2024-12-12,6,1,0.0,0.9999999999244111,7.558887044092687e-11,5.4152069270476974e-21,0.0,0.0
2024-12-13,6,1,0.0,1.0,0.0,1.3329947006953867e-31,0.0,0.0
