,SPX,BOND,GOLD,OIL,USD
2015-12-21,0.7081792660102497,0.17958970838773394,0.0,4.1372546655462924e-17,0.11223102560201645
2015-12-22,0.7081792660102497,0.17958970838773394,0.0,4.1372546655462924e-17,0.11223102560201645
2015-12-23,0.7081792660102497,0.17958970838773394,0.0,4.1372546655462924e-17,0.11223102560201645
2015-12-24,0.7081792660102497,0.17958970838773394,0.0,4.1372546655462924e-17,0.11223102560201645
2015-12-28,0.7081792660102497,0.17958970838773394,0.0,4.1372546655462924e-17,0.11223102560201645
2015-12-29,0.7081792660102497,0.17958970838773394,0.0,4.1372546655462924e-17,0.11223102560201645
2015-12-30,0.7081792660102497,0.17958970838773394,0.0,4.1372546655462924e-17,0.11223102560201645
2015-12-31,0.6748858755359307,0.17958970838773392,0.033293390474318944,1.0842021724855042e-19,0.11223102560201642
2016-01-04,0.6748858755359307,0.1795897083877339,0.14552441607633537,0.0,1.3877787807814457e-17
2016-01-05,0.6748858755359307,0.1795897083877339,0.14552441607633537,0.0,1.3877787807814457e-17
2016-01-06,0.0,0.1795897083877338,0.8204102916122662,0.0,0.0
2016-01-07,0.0,0.1795897083877338,0.8204102916122662,0.0,0.0
2016-01-08,0.1796065171731169,0.0,0.8203934828268831,1.1045309632196076e-18,9.825582188149884e-18
2016-01-11,0.1796065171731169,0.0,0.8203934828268831,1.1045309632196076e-18,9.825582188149884e-18
2016-01-12,0.1796065171731169,4.8781015481156233e-17,0.46731998629370014,4.461736512738452e-18,0.35307349653318293
2016-01-13,0.1796065171731169,4.8781015481156233e-17,0.46731998629370014,4.461736512738452e-18,0.35307349653318293
2016-01-14,0.22737936003071996,4.407650274603384e-17,0.46731998629370014,0.0,0.3053006536755799
2016-01-15,0.22737936003071996,4.407650274603384e-17,0.46731998629370014,0.0,0.3053006536755799
2016-01-19,0.22737936003071996,4.407650274603384e-17,0.46731998629370014,0.0,0.3053006536755799
2016-01-20,0.13965738622174229,4.500654492211906e-17,0.78562111740501,0.0,0.07472149637324764
2016-01-21,0.17784017786357678,0.0,0.7856211174050097,1.3010426069826051e-18,0.0365387047314133
2016-01-22,0.2342392234910822,1.0584523708889737e-17,0.7292220717775045,4.336808689942018e-18,0.03653870473141331
2016-01-25,5.551115123125783e-17,1.6764476092057112e-17,0.7292220717775045,2.142654543374478e-17,0.27077792822249547
2016-01-26,6.664003256534984e-17,3.358005421087992e-17,0.5293255081573105,0.199896563620194,0.2707779282224955
2016-01-27,6.738665497674573e-17,4.341066304966644e-17,0.5293255081573105,0.018757096941187545,0.45191739490150185
2016-01-28,0.5480826050984979,4.6295432765131045e-17,1.9301509175673195e-16,1.0842021724855046e-17,0.4519173949015019
2016-01-29,0.3473439500567895,0.06610073204113949,0.13463792300056915,1.4840017235895342e-17,0.4519173949015019
2016-02-01,0.1843997686410758,0.06610073204113949,0.34087709359871654,0.0,0.40862240571906827
